Size Idx Append Polo PoloAppend
2780000 7484390 14083432 186417881 173920834
2790000 7501325 14160393 172247344 171942731
2800000 7519713 14369674 180826793 195363016
2810000 7547996 14509306 182540445 186055883
2820000 7443669 14457740 177329855 181059059
2830000 7570313 14458240 192572389 186101166
2840000 7596089 14511335 194523778 183929676
2850000 7700953 14641418 173465915 185413510
2860000 7598670 14607304 186155793 197694904
2870000 7708878 14691751 191211394 187230156
2880000 7707862 14711120 193397492 184536474
2890000 7848662 14852726 179530861 197249880
2900000 7671532 14801733 190364565 194216320
2910000 7762935 14657961 192892715 187039055
2920000 7981825 15081937 190144645 201619392
2930000 7803503 14912156 191335153 200328763
2940000 7950178 15094987 185727187 185550453
2950000 7766634 15400841 190995135 183593461
2960000 7980491 15433106 185617924 209860355
2970000 7991389 15100138 200262355 196026661
2980000 8043982 15053227 189145034 188216739
2990000 8017934 15350190 200550211 188612796
3000000 8107475 15255781 194985307 202545192
3010000 8005306 15445301 200806860 193384318
3020000 8081119 15140484 193073361 214240676
3030000 7992433 15483212 204569274 235217916
3040000 7908745 15249833 199710586 225133107
3050000 8006097 15888819 201829450 221053183
3060000 8276527 15942377 195110860 220710245
3070000 8861778 15655692 186774103 230698176
3080000 8306284 15825809 203284582 240283003
3090000 8174771 15761635 203621960 239111917
3100000 8080126 15504244 202439736 223449481
3110000 8347532 15795306 204323864 248105737
3120000 8238899 16079210 202258001 221634526
3130000 8219936 15858463 200963374 238637419
3140000 8339716 16141583 196612621 222557043
3150000 8382298 16932197 206770950 229778667
3160000 8507212 16092081 199082076 253268149
3170000 8402734 15868032 194344064 236850803
3180000 8410408 16336667 192529839 236850644
3190000 8471405 16192708 196599032 253852106
3200000 8516128 16091528 211656874 202753631
3210000 8474698 16088428 212885777 233814656
3220000 8754998 16801059 210881777 241910936
3230000 8613763 16528264 196011516 283244407
3240000 8665537 16498185 204350477 284551011
3250000 8667038 16397879 208329751 234674400
3260000 8788816 16765238 211491518 248907709
3270000 8476217 16561504 218992989 258603346
3280000 8660068 16939409 202275510 278983818
3290000 8788370 16301500 207144452 233119829
3300000 8923589 16787308 198430575 282022667
3310000 8739526 16721732 212095620 241902968
3320000 8945509 16842045 216165909 269229654
3330000 8888750 16995220 211862271 227249753
3340000 8807018 17055681 220344343 234425347
3350000 9054590 17272287 213891131 212729574
3360000 8848585 17200826 227755796 243423931
3370000 9588803 17236441 231066710 289562402
3380000 8877626 17478066 210557161 219034732
3390000 9074552 17109078 225409226 299639617
3400000 9017363 17137569 215915600 298636534
3410000 8946375 17201754 238634985 270911376
3420000 9013972 17349696 252088896 266727217
3430000 9051013 17415403 263234555 267370273
3440000 9082948 17716755 264077209 244678181
3450000 9062461 17460401 239999868 250746500
3460000 9235235 17593513 263539291 251521565
3470000 10381645 18035653 250463050 296235888
3480000 9230500 17642484 543918029 252565299
3490000 9101548 17582197 546631495 277340892
3500000 9323909 17771687 291450922 265487864
3510000 9405655 18123364 548343619 286886660
3520000 9369442 17783541 268196071 275629659
3530000 9405100 18260787 269892302 269185937
3540000 9301708 18075977 553187929 278229789
3550000 9421382 17943407 538136368 251485149
3560000 9357854 17992010 250656723 258737276
3570000 9390602 17982110 1010689372 256222953
3580000 9481359 17808681 243418134 264116412
3590000 9533776 18354010 254586292 262546936
3600000 9536072 17730320 278345454 300735872
3610000 9681416 18153060 560925135 256424279
3620000 9600942 20039686 256097130 283664968
3630000 9390972 18310632 298939734 282754405
3640000 9655888 18719214 297310739 255684890
3650000 9678496 18540481 300909677 261827470
3660000 9575458 18652870 1033731177 259323866
3670000 9707397 19058873 1012358262 290350909
3680000 9678317 18560244 259886910 279741376
3690000 9780001 18780633 1003723367 279886133
3700000 9633624 18816797 561886230 259071503
3710000 9823298 18947811 304187118 198093056
3720000 9809779 18551109 1017615979 285584396
3730000 9901089 19132837 1020031459 270583090
3740000 9850573 18883599 272423444 199042005
3750000 9904207 19271758 279764408 197931592
3760000 9834624 19461747 1021217068 308161340
3770000 9899868 18855224 580712844 264865174
3780000 9946986 19163304 260970037 196652873
3790000 9894822 19627268 1066091069 290098616
3800000 10207648 19895085 1036237027 267139237
3810000 10005812 19574359 196511737 287206424
3820000 9976410 19113850 1032356648 275558380
3830000 10066223 19309995 194179841 298011079
3840000 10077571 19681594 219629500 267150349
3850000 10251114 20509310 222447163 294648065
3860000 10308493 19746454 204951884 296993363
3870000 10250409 19554344 1053637792 274140353
3880000 10397573 20059953 220714394 279810506
3890000 10211215 19670870 211635478 282356731
3900000 10382047 20094905 196659699 301805382
3910000 10307607 20045153 608878912 227938131
3920000 10249174 19226872 513047587 225374327
3930000 10557738 20185064 222538678 309523064
3940000 10378654 20459806 590829846 209157764
3950000 10469715 19985204 1055491206 277663349
3960000 10564323 20077659 1086629230 271741012
3970000 10630418 19606694 1070545537 297951503
3980000 10397009 20086805 614507196 211849841
3990000 10803021 20465887 600500770 208443098
4000000 10465813 20216238 1069940867 320845752
4010000 10677079 20034553 201052746 282137486
4020000 10757652 20372886 199539094 308694413
4030000 10554021 20927199 224891728 286441108
4040000 10769446 20417095 608028700 208969146
4050000 10655889 20497005 1101052613 310520586
4060000 10799133 20609843 230113141 313983030
4070000 10518628 21005469 619184319 289803726
4080000 10676082 21046134 520039879 306804597
4090000 11137618 21153944 1114929210 277820005
4100000 10939072 21199656 619615488 283040753
4110000 10946698 20846027 619917012 312452922
4120000 11157983 21372417 587074940 309182146
4130000 10854443 21502011 526114070 313839675
4140000 10892490 21117926 1158093860 288781767
4150000 10856007 20991277 518207526 291861178
4160000 10692511 20532712 394995668 288653297
4170000 10906408 20898545 1042163844 317910380
4180000 10987867 21195759 1119000525 295332670
4190000 10944245 21642192 1099607175 287842811
4200000 10796227 21491098 461041954 319734461
4210000 11391383 21323175 1133313103 312361035
4220000 10867417 23021687 1102088024 289588433
4230000 11365176 21378929 515683490 317458388
4240000 11196524 21423947 1049259842 337874502
4250000 11294598 21724765 648498188 318110385
4260000 10958045 21644716 547017963 326101098
4270000 11168018 21980734 1140215630 324512267
4280000 11225626 21614616 1159473574 323161837
4290000 11201897 22011776 660379350 299365792
4300000 11226940 21560552 531466540 324904768
4310000 11307359 21822088 1175826224 321450565
4320000 11197601 21938767 542404098 330847810
4330000 11331687 22072947 558988547 318637113
4340000 11679293 21968505 1193898300 335732170
4350000 11641851 22168379 315954462 325674110
4360000 11693284 21740952 297184639 319569435
4370000 11619972 22403121 323550854 301379134
4380000 11719239 22295703 1142713936 323060973
4390000 11981496 22419034 1183617916 304705691
4400000 11670080 21876860 305510328 312827324
4410000 11595592 22548001 1217409639 306105962
4420000 11763513 22650800 323163216 305055576
4430000 11628938 22900998 318424365 331680663
4440000 11706075 22235390 1211807217 306192119
4450000 12668745 22211654 1184907247 325449317
4460000 11491586 22542239 309386725 309182050
4470000 11977335 23280562 1221367831 339680964
4480000 11519185 22299283 303178639 1001503314
4490000 11681958 22981903 338187370 315946751
4500000 11840889 23283610 1043243826 342642947
4510000 12153628 23244238 327067395 1051211446
4520000 11756647 22721906 1220156680 361015391
4530000 12137911 22771055 362385988 322485172
4540000 12112297 23906893 333101317 1244000660
4550000 12320193 23094466 1215530080 324269907
4560000 11793222 22803148 1245124756 318829214
4570000 12208367 23765870 314665331 345243225
4580000 11924554 23871229 310506986 1250285302
4590000 11882655 22702747 337735207 326042966
4600000 12175802 23294684 1123504639 315524548
4610000 12004700 25022082 1245328458 350344698
4620000 12245581 23412829 1248099369 361436588
4630000 12109495 23363859 1030293406 312529872
4640000 12029803 23309887 339859098 350289161
4650000 12127344 22887290 338237119 353264046
4660000 12393782 24275305 374526715 328239333
4670000 12051519 23423387 1079006623 315906553
4680000 12203459 22844534 1035501310 313720465
4690000 12411090 23727573 1125973471 327614777
4700000 12434947 23479533 326197984 1327189975
4710000 12534836 24315604 1051329428 321252688
4720000 12150962 24127160 370493376 332200708
4730000 12173658 23567152 314164204 326743037
4740000 12391737 24260350 344509644 330055008
4750000 12365290 24452977 351710485 350107846
4760000 12252579 24266662 344042959 326313256
4770000 12240669 24857329 375990016 354982474
4780000 12430787 24575777 341010423 332123543
4790000 12603556 24892978 370506694 353981471
4800000 12628949 24571488 324430721 362896604
4810000 12745357 25572385 340923192 367909518
4820000 12712767 24078169 323331770 322152275
4830000 12579550 23930158 326920301 359966884
4840000 12695995 24784397 332937587 355810635
4850000 12811822 24663612 382737632 343244780
4860000 12609252 25001937 343047576 331737410
4870000 12542387 24850310 319540998 342504755
4880000 12553932 24615706 327788743 352293905
4890000 12646420 25034731 355239292 358228671
4900000 13012322 25269249 336201263 377183350
4910000 12697480 25636248 358314941 349700473
4920000 12691297 24646856 362467341 337719657
4930000 12806289 25124594 376340899 338931612
4940000 13068705 24696382 349391462 370296860
4950000 12945255 24952444 349352593 376236659
4960000 13111093 25294329 337133572 350080656
4970000 13230221 25685508 346045693 343475861
4980000 14032674 25891384 355599080 346852953
4990000 12896662 25130721 359392604 366975387
5000000 13192711 25520408 364885725 352262239
5010000 13111174 25732921 364942689 349814233
5020000 13033615 26619187 376895849 358111905
5030000 12854230 25802012 361185649 380374439
5040000 13092464 25083579 363149902 376378340
5050000 12917400 25109058 365436903 365070682
5060000 13026494 25311596 352998404 353481353
5070000 13056602 25952297 359105890 354522538
5080000 13303988 26027161 345493474 352182957
5090000 13379409 25167660 344599844 356732752
5100000 13374749 26408949 362854604 361831845
5110000 13532289 25938851 346213497 354688091
5120000 13023932 26617788 398333876 367018850
5130000 13687199 25628150 354116559 379412702
5140000 13603799 25746011 348475019 382608104
5150000 13534476 26939253 374915908 358859837
5160000 13752619 26359680 396277897 380836988
5170000 13772588 26153607 399093228 388580612
5180000 13458311 25590927 369784123 384496260
5190000 13443533 27429689 357630837 367711377
5200000 13511879 25800711 353905030 378151679
5210000 13698934 26703096 363504087 387089569
5220000 13634216 25827880 374618142 392191218
5230000 13464817 25862633 346869453 378903248
5240000 14005271 26448618 374936656 399650657
5250000 13736194 26262545 369370642 385167783
5260000 13878850 27050298 395636117 365213984
5270000 13787836 26126927 389821244 388546360
5280000 13694496 26592869 357676357 396415479
5290000 13881807 27045660 410196142 368665216
5300000 13993453 26688836 412380976 388283628
5310000 13857098 26738606 383783717 376122405
5320000 13784041 27431638 387262200 392882683
5330000 13866084 26336713 360638313 374357298
5340000 13797142 27362362 357173888 364526844
5350000 13802853 27221424 381145966 412016808
5360000 14026035 26617591 365434152 379954252
5370000 13926253 26649352 365921502 380573830
5380000 13773360 26380194 385683593 428807377
5390000 14263190 28447360 361941209 395418184
5400000 14181436 27117853 362032000 398026208
5410000 14336457 26984687 419277474 429391569
5420000 13955186 27827382 419222917 376285867
5430000 14191507 26717329 418644913 375886184
5440000 14173567 27591021 395479239 405004874
5450000 14117747 27740389 374069907 381340422
5460000 14004825 28499479 428634648 377180369
5470000 14189454 27858069 372401011 402639549
5480000 14347026 28275456 403155189 373600972
5490000 14341494 27112728 369636583 409865059
5500000 14075299 27718587 398584232 368630821
5510000 14353028 28114914 364881522 418666431
5520000 14326142 28153970 396626409 395438050
5530000 14200826 28842847 420215795 387310069
5540000 14594248 28033316 397354389 404451662
5550000 14533184 28414538 412120739 413393450
5560000 14390345 28244973 371777054 405107279
5570000 14972605 28914964 406098145 381620542
5580000 14526877 28415716 369019445 389062838
5590000 14707552 28072486 374536612 405554056
5600000 14453881 28654732 380169183 385419026
5610000 14381188 28984099 404270017 448375592
5620000 14405587 28311900 386359444 444385425
5630000 14531427 27752425 385157426 411982359
5640000 14252143 28903904 396177654 424211022
5650000 14913246 29181305 435079336 403009468
5660000 14714291 27733451 400623526 391295394
5670000 14687474 28333456 383416190 418098614
5680000 15925732 29184088 399358126 396018304
5690000 14506305 27987441 374445254 403688999
5700000 14760963 29568038 382423063 456285826
5710000 15005670 28387288 398282376 390491453
5720000 14674428 28623682 389373930 409968411
