Size IntIdx IntAppend PoloIdx PoloAppend
3070000 79953235 96557646 201823318 198750616
3080000 77447860 85264943 204960454 211794958
3090000 71579373 88302392 198251509 209756629
3100000 77195148 83590311 204593510 208278268
3110000 78193358 85171993 204080166 204406749
3120000 83544885 94385384 207179412 201137865
3130000 94042875 80252801 207651324 216387449
3140000 76495159 97646849 215266283 210017440
3150000 90046746 82646190 206204422 207333390
3160000 97106060 96874274 210915904 217308832
3170000 94015444 95827795 209087140 212280833
3180000 86717520 102504021 212806110 217009149
3190000 90782921 104702640 205554116 220694844
3200000 85569087 105281625 208241064 217394887
3210000 93475186 85382246 212877046 214920634
3220000 91015618 88719234 217464279 216072271
3230000 97971369 90662404 213522299 219560138
3240000 78074076 93957259 209950858 218557289
3250000 85763828 109996345 206944423 218190293
3260000 62334854 98583252 214103960 213001291
3270000 101095970 99019345 218548391 216497983
3280000 83061337 107775882 217880449 227372573
3290000 93192687 108178846 219113494 220222634
3300000 83486188 96499322 223421265 212330417
3310000 99885647 105092489 232667885 230312544
3320000 83656532 98808760 217212544 221719762
3330000 95619682 100828735 227120484 215393347
3340000 95389148 102083254 217538037 224168911
3350000 89012791 109175164 230432288 218542887
3360000 95804003 102494247 218074674 235914362
3370000 88466887 105162193 223227993 231240632
3380000 92126725 96289701 213289734 221809796
3390000 103997124 90434187 223562982 230690069
3400000 98104404 99622798 225425860 235759334
3410000 87332711 100201257 233238509 222017636
3420000 89731594 101107583 227399946 239551247
3430000 88660147 104765671 235525515 238703725
3440000 82581167 89902913 240079567 240035654
3450000 81390812 98538970 222408733 243790743
3460000 88014335 103376685 255577163 254228924
3470000 78829117 91611382 222868930 249168464
3480000 87579035 98035141 237528937 240901971
3490000 95023897 99144690 241128914 242737104
3500000 84554568 104914713 236776130 230048423
3510000 80728073 98584853 240485971 244560647
3520000 83050411 95865780 246362046 250409020
3530000 88800670 108421525 234028895 243690080
3540000 92500430 84139443 250285524 238154710
3550000 83144287 90023733 243129726 255229739
3560000 92313987 108937274 239058911 245724719
3570000 83982987 97650777 241060726 245692072
3580000 97365224 98054879 249609400 244377659
3590000 79857464 109827688 238078424 249398657
3600000 96109737 95806243 241635046 254205736
3610000 88803242 107691908 231161237 249941574
3620000 89874131 92996204 235220510 270302976
3630000 92003691 104903409 255346211 257934351
3640000 87246765 107906926 238679001 251759269
3650000 90546331 90139812 246796893 233754900
3660000 80636079 103654425 230885787 244457372
3670000 90633050 107867701 243301382 251273124
3680000 91568968 109125393 277625717 279864394
3690000 85701959 97932705 275051578 271557818
3700000 85378364 99554360 285732501 280703668
3710000 97540071 100936252 277962225 282202617
3720000 83465747 116410261 289289217 282649379
3730000 97192161 96058923 295313567 291012987
3740000 90028277 104530326 273601366 294190128
3750000 94778439 98930747 288514173 279098899
3760000 92224672 98611264 288195991 289679872
3770000 98201397 106355809 299738193 290800094
3780000 89033361 98761056 273547597 295962529
3790000 99478281 112487177 282499623 291014521
3800000 93853742 112647867 282485552 282315818
3810000 92472408 115166726 288174407 281616248
3820000 110492031 112429815 277340991 282884813
3830000 100547012 112713324 268781839 289757225
3840000 97328110 105795369 283582864 293248309
3850000 95241965 101939983 277883433 299322545
3860000 106153945 114720156 281388344 274966202
3870000 98209129 105395984 289623719 286538144
3880000 105688588 108094542 286886432 290211750
3890000 107257703 113717006 282350583 279047377
3900000 103057089 114979486 282744383 299871146
3910000 105942312 97872852 274869794 295505885
3920000 94859958 101402420 286657765 287632592
3930000 96722225 104723040 280212091 280236380
3940000 122799284 103470332 271942046 315099599
3950000 102181142 98560183 303105703 309044845
3960000 108115174 98283629 275306837 292619282
3970000 92697993 113277849 292029955 301974263
3980000 106106695 114563735 285813810 285874507
3990000 108683212 104947899 268710083 309676294
4000000 102878618 120098014 275278295 303166524
4010000 111277518 105728377 288547973 277985090
4020000 115899225 110387793 287345626 304157369
4030000 110572544 112019966 277409618 306605559
4040000 96121918 123401811 286229454 296575194
4050000 105591877 125285757 295328482 305423165
4060000 105093922 130091057 285468776 303571012
4070000 92117432 115089865 301493397 305915536
4080000 108455048 110573174 300279703 305845177
4090000 101361749 133959334 287985890 291510537
4100000 108714109 127481589 288669905 291930699
4110000 125892148 121251928 316725029 301897244
4120000 131799303 136103942 285979023 303733126
4130000 123703864 118307036 316313113 314297194
4140000 127076405 123646308 317223812 319905319
4150000 107455811 143634692 309607481 304994472
4160000 113936043 117624957 294728777 303845084
4170000 112413381 125504683 299363776 304760931
4180000 112157809 131303253 299139027 322797398
4190000 119022219 117345979 307531874 299328152
4200000 128456166 135935553 295217696 324755640
4210000 116826921 125854650 315205942 320520521
4220000 117434373 138260872 311554261 315924331
4230000 107809626 143150760 307516596 299678113
4240000 127434741 121385363 301986987 320793018
4250000 127020305 143942135 322064700 320834272
4260000 102467270 144844840 315934674 308686620
4270000 123816615 133924933 318833026 317842438
4280000 108000116 149587609 307223581 319554824
4290000 130972779 140420539 307540509 327871192
4300000 98007143 143117989 312820115 314981975
4310000 128040326 146341029 308336012 330102026
4320000 118817086 141870432 327364468 308508824
4330000 120955682 150808261 303778650 322844587
4340000 127122174 135172408 330602408 323322621
4350000 121349277 145023578 308284102 328802393
4360000 130510876 129931137 314226149 326091899
4370000 119879652 146432575 307798956 322451242
4380000 121640532 145812565 306504326 305946839
4390000 119595634 139765768 298759214 323479513
4400000 132247026 141510224 325557440 325365953
4410000 125944524 149935143 315966352 329990757
4420000 115334016 142304934 325424697 333340422
4430000 102053229 140996267 325004548 338998370
4440000 117872338 144787275 329510214 330459413
4450000 132193175 138536192 318850761 327022802
4460000 123218787 135699998 304345613 343558376
4470000 142631335 147370518 316541030 344790800
4480000 137956167 148024210 311919841 325086806
4490000 122120319 142021242 337824358 330299217
4500000 118019703 125430786 325107663 343212173
4510000 131688575 144255828 315375841 323000435
4520000 129803353 141673248 320792986 330346331
4530000 138118791 153718573 311627546 353851132
4540000 136117891 149043231 325088943 314895437
4550000 126976815 152401253 328106236 321726613
4560000 129812768 137458646 345641129 342617427
4570000 118817723 154651676 323731614 326418517
4580000 127190812 148101810 330568201 315459433
4590000 110864170 157772018 331264066 322426368
4600000 127604977 159018238 325700694 340164287
4610000 129915200 145469577 330931430 353195612
4620000 122624243 146644119 317404790 338199854
4630000 126167662 146047349 311574064 336139915
4640000 150399281 165947586 324885399 339096923
4650000 141806027 134817426 339429874 342238976
4660000 131119999 142768023 340444532 341136283
4670000 147759833 150058627 332844689 340124491
4680000 141888373 153247881 345328914 333822912
4690000 125817875 140746440 329880178 352838114
4700000 148306052 156023213 321714896 342460978
4710000 147405086 163861616 337789222 336876481
4720000 144531062 150714915 329549800 357400330
4730000 140563528 144352525 340900056 336966828
4740000 142576265 151968151 324131367 338118977
4750000 144179802 138186376 334079905 347760720
4760000 138033374 157237581 363629985 357736057
4770000 151719959 158633692 346122891 376182550
4780000 145532990 135044782 345057100 350359515
4790000 149764498 152839920 327594217 367851944
4800000 149302568 166744206 338605592 351570372
4810000 158370495 151138679 323292596 365207755
4820000 139787724 151556930 371247983 338880109
4830000 152060963 151085639 352153826 346745126
4840000 146630161 169439681 350005076 351483270
4850000 131675756 159579104 348125038 355537101
4860000 149583605 162555324 339887368 366950661
4870000 144841219 161844753 351896870 369379588
4880000 134591669 152366569 353546181 373604406
4890000 149811321 163270536 361552344 361099025
4900000 144884579 161066437 366928616 362559979
4910000 123429066 156229574 351395702 367335671
4920000 132421372 165018399 364501556 369958961
4930000 167103966 175618798 358189539 339685405
4940000 151164148 150728309 362219736 371050739
4950000 139261721 161118048 347961814 365795290
4960000 159043383 162083344 368381888 355050700
4970000 130777687 162354783 355480651 389854529
4980000 145393630 164150411 376681224 353227449
4990000 134929845 139963827 356541888 369143484
5000000 136764420 154058847 371303635 384122414
5010000 149070405 156879016 349161422 371715766
5020000 143025632 154088419 358776791 368890812
5030000 129512081 167808587 364911656 373467699
5040000 139892094 159329049 378427316 377372012
5050000 159653280 151242193 353199647 358328713
5060000 151578252 156632811 368308451 373242500
5070000 136434696 156313524 352802357 354381387
5080000 138169350 190366696 355525676 368938859
5090000 141691142 175258931 349121218 375790655
5100000 148338460 171508599 359398433 382111731
5110000 157650873 166069604 364813627 362748555
5120000 159734094 143094783 357793293 376038539
5130000 169342605 162233063 375611577 373098907
5140000 143542337 165586070 363147211 367300370
5150000 147366461 152564488 391936912 369265709
5160000 135814098 171599723 374011195 379244124
5170000 161520183 187579621 375725288 376291221
5180000 170209726 166780972 396403120 397509965
5190000 163209375 177974533 367082467 386192418
5200000 156610191 160518296 388797589 374813285
5210000 150430874 156636129 363707807 406101453
5220000 162721986 175764465 370341307 388953875
5230000 145147898 175047570 362686624 399466866
5240000 168193041 172051229 367458205 381011673
5250000 153180194 150995400 368962314 385647417
5260000 140561851 187119608 383307350 375271071
5270000 162006136 174270059 394523516 393825431
5280000 157440905 173169895 367457640 381292408
5290000 150895686 168928380 373669507 404404916
5300000 155497143 183578237 377409215 393514014
5310000 149303227 178323556 379755528 399917300
5320000 159629698 164653546 384045814 389847616
5330000 138368204 159921198 388647979 394159125
5340000 167363279 173776537 370934241 401385325
5350000 142011113 176999853 378212278 387569780
5360000 160703956 180958632 377038376 401655717
